Id,MÊS,TIPO,NÚMERO PER
25594,2022/01,Pagamento Indevido ou a Maior,169934470224112512240732
25592,2024/01,Pagamento Indevido ou a Maior,427431531517102513240188
25591,2021/01,Pagamento Indevido ou a Maior,108988316722112512247825
25590,2020/11,Pagamento Indevido ou a Maior,390696664122112512241634
25589,2021/01,Pagamento Indevido ou a Maior,204799392822112512240299
25588,2021/03,Pagamento Indevido ou a Maior,228887284122112512249709
25587,2021/02,Pagamento Indevido ou a Maior,019999376122112512247246
25586,2021/04,Pagamento Indevido ou a Maior,176053983022112512240804
25585,2021/05,Pagamento Indevido ou a Maior,000764425122112512240530
25584,2021/06,Pagamento Indevido ou a Maior,001174028922112512244733
25583,2021/08,Pagamento Indevido ou a Maior,034229843922112512241076
25582,2021/07,Pagamento Indevido ou a Maior,204671231822112512242927
25581,2021/09,Pagamento Indevido ou a Maior,005303723222112512241535
25580,2021/10,Pagamento Indevido ou a Maior,092670553922112512245088
25579,2021/11,Pagamento Indevido ou a Maior,099695031622112512249644
25578,2022/01,Pagamento Indevido ou a Maior,099630415222112512240117
25577,2021/12,Pagamento Indevido ou a Maior,092554174022112512248615
25576,2022/02,Pagamento Indevido ou a Maior,136625388522112512247775
25575,2022/03,Pagamento Indevido ou a Maior,329873214722112512240630
25574,2022/04,Pagamento Indevido ou a Maior,045849569522112512242786
25573,2022/07,Pagamento Indevido ou a Maior,210971573922112512246755
25572,2022/05,Pagamento Indevido ou a Maior,073819072322112512244484
25571,2022/08,Pagamento Indevido ou a Maior,211214602122112512249391
25570,2022/09,Pagamento Indevido ou a Maior,383362873522112512244728
25569,2022/10,Pagamento Indevido ou a Maior,198152871122112512240130
25568,2022/12,Pagamento Indevido ou a Maior,005930780622112512244035
25567,2022/11,Pagamento Indevido ou a Maior,225497098622112512241061
25566,2020/01,Pagamento Indevido ou a Maior,296035704822112512247046
